,_tid_,elderly,adults,adolescents,children,female,male,healthy_volunteers,eudract_number,protocol_country_code
1593,1593,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2012-004362-17,gr
1594,1594,0.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-001078-34,nl
1595,1595,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-003106-33,es
1596,1596,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2014-005724-10,it
1597,1597,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-016179-31,es
1598,1598,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2010-018563-41,gb
1599,1599,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-000358-20,ee
1600,1600,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2005-004290-19,at
1601,1601,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-003487-48,fr
1602,1602,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-001315-31,be
1603,1603,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-001894-41,hu
1604,1604,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2008-008435-29,gr
1605,1605,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-004616-21,de
1606,1606,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-004483-22,gb
1607,1607,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2012-003486-18,pl
1608,1608,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-002669-37,se
1609,1609,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-003230-17,se
1610,1610,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-004286-32,de
1611,1611,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2005-002568-27,pt
1612,1612,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-001005-16,cz
1613,1613,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2008-003740-11,de
1614,1614,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-017358-10,fr
1615,1615,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000114-22,pl
1616,1616,0.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2006-004972-11,lv
1617,1617,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-016973-13,gb
1618,1618,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-013838-25,gb
1619,1619,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-011791-30,gb
1620,1620,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-018006-21,lv
1621,1621,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-002261-22,de
1622,1622,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-001643-39,fr
1623,1623,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-002783-33,at
1624,1624,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-012652-24,sk
1625,1625,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-005808-17,nl
1626,1626,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-001026-14,be
1627,1627,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2008-003560-19,es
1628,1628,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-017443-34,be
1629,1629,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2012-005418-20,gb
1630,1630,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-000988-16,fr
1631,1631,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2011-005243-28,hu
1632,1632,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-001200-38,de
1633,1633,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2005-004670-24,gb
1634,1634,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-004122-24,de
1635,1635,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-022798-32,de
1636,1636,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2011-001758-26,lv
1637,1637,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-004614-14,be
1638,1638,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-002023-21,de
1639,1639,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2008-008698-69,se
1640,1640,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2012-004319-29,ro
1641,1641,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-001435-21,de
1642,1642,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-004849-40,gb
1643,1643,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-019685-87,de
1644,1644,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000981-70,hu
1645,1645,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2005-002611-25,gb
1646,1646,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2013-002454-78,es
1647,1647,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2014-004023-40,si
1648,1648,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002009-31,gb
1649,1649,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002112-84,es
1650,1650,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2004-003953-16,at
1651,1651,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-010643-14,de
1652,1652,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003269-33,cz
1653,1653,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-012265-60,dk
1654,1654,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2010-023534-23,dk
1655,1655,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-005418-31,bg
1656,1656,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003398-91,nl
1657,1657,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-002801-12,pt
1658,1658,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2008-005276-27,hu
1659,1659,0.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2004-003943-28,gb
1660,1660,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-003703-22,pl
1661,1661,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-001874-12,at
1662,1662,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000799-92,gb
1663,1663,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-024513-31,be
1664,1664,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2018-000183-28,gr
1665,1665,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-002749-37,de
1666,1666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2010-019525-34,sk
1667,1667,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-017998-37,be
1668,1668,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2017-004420-30,pt
1669,1669,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2013-003980-74,de
