"feature","chi2_score_milk","p_values_milk","sample_count_milk","correlation_to_milk"
"rarmene",23.174603174603202,9.283224653591513e-06,2,0.14767985240297343
"kandiert",23.174603174603202,9.283224653591513e-06,3,0.2296376251236237
"oil",23.174603174603202,9.283224653591513e-06,2,0.06336730887845365
"palm",23.174603174603202,9.283224653591513e-06,33,0.06403939616551746
"pepper",23.174603174603202,9.283224653591513e-06,2,0.08510228026531293
"baking",23.174603174603202,9.283224653591513e-06,2,0.06336730887845365
"aceroia",23.174603174603202,9.283224653591513e-06,2,0.268110598213474
"chia",23.174603174603202,9.283224653591513e-06,2,0.20763680154835265
"rak",23.174603174603202,9.283224653591513e-06,47,0.21935348518758585
"rapsol",23.174603174603202,9.283224653591513e-06,2,0.18098458040843965
"beete",23.174603174603202,9.283224653591513e-06,2,0.1476798524029735
"barley",23.174603174603202,9.283224653591513e-06,2,0.06336730887845365
"cacaoboter",22.929616622768553,1.0492935766292127e-05,3,0.181408288515144
"pistazien",22.929616622768553,1.0492935766292127e-05,4,0.11210012047856548
"füllung",22.929616622768553,1.0492935766292127e-05,6,0.14942190098056377
"teig",22.929616622768553,1.0492935766292127e-05,9,0.14767985240297346
"hefe",22.791629708223358,1.1242437763826884e-05,57,0.14767985240297343
"macada",21.67164179104481,1.9681707723782766e-05,2,0.07765789051362845
"macadamianuss",21.67164179104481,1.9681707723782766e-05,2,0.07765789051362841
"sahnepulver",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297343
"hirschhornsalz",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"dinkelvoll",21.67164179104481,1.9681707723782766e-05,26,0.06336730887845364
"e440a",21.67164179104481,1.9681707723782766e-05,2,0.05081144057250537
"grains",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"vollmilchpuiver",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"honing",21.67164179104481,1.9681707723782766e-05,3,0.09627502356483425
"mikrobiellem",21.67164179104481,1.9681707723782766e-05,2,0.18098458040843965
"ziegenmilchjoghurt",21.67164179104481,1.9681707723782766e-05,2,0.047358371847867106
"magere",21.67164179104481,1.9681707723782766e-05,2,0.10038305323383193
"microbien",21.67164179104481,1.9681707723782766e-05,2,0.3573278656512931
"ver",21.67164179104481,1.9681707723782766e-05,175,0.14004069918564394
"zuckerrübe",21.67164179104481,1.9681707723782766e-05,8,0.14767985240297343
"diesem",21.67164179104481,1.9681707723782766e-05,2,0.11258939473664432
"das",21.67164179104481,1.9681707723782766e-05,2,0.0776578905136285
"magermilchpul",21.67164179104481,1.9681707723782766e-05,7,0.20911538585592246
"cuisine",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297346
"rosenwasser",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845365
"mianuss",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"melkchocolade",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297352
"écrémé",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297346
"coagulant",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"citrate",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297346
"mozzarella",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297343
"schokolade",21.67164179104481,1.9681707723782766e-05,18,0.18098458040843973
"unhydriertes",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845365
"fett",21.67164179104481,1.9681707723782766e-05,42,0.08510228026531293
"infusé",21.67164179104481,1.9681707723782766e-05,2,0.21781291046322646
"quellen",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845365
"produkt",21.67164179104481,1.9681707723782766e-05,2,0.2718122867102919
"preis",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"färbender",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845363
"marzipanrohmasse",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845365
"schafskäse",21.67164179104481,1.9681707723782766e-05,2,0.20440640559084594
"pasteurisé",21.67164179104481,1.9681707723782766e-05,2,0.3483272568212239
"schafmilch",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845365
"in",21.67164179104481,1.9681707723782766e-05,473,0.06336730887845365
"fettarmes",21.67164179104481,1.9681707723782766e-05,2,0.1483765678412102
"fettarme",21.67164179104481,1.9681707723782766e-05,4,0.06123254817445486
"ferments",21.67164179104481,1.9681707723782766e-05,2,0.22904955911363556
"lactiques",21.67164179104481,1.9681707723782766e-05,2,0.1553390391191514
"nückverfolgbaren",21.67164179104481,1.9681707723782766e-05,2,0.14767985240297343
"nussen",21.67164179104481,1.9681707723782766e-05,2,0.23301071155498806
"nit",21.67164179104481,1.9681707723782766e-05,22,0.06336730887845364
"stammt",21.67164179104481,1.9681707723782766e-05,2,0.0776578905136285
"gouda",21.67164179104481,1.9681707723782766e-05,2,0.07367038168536592
"kardamon",21.67164179104481,1.9681707723782766e-05,2,0.043215660548691456
"kornschrot",21.67164179104481,1.9681707723782766e-05,8,0.06336730887845365
"entier",21.67164179104481,1.9681707723782766e-05,2,0.10038305323383194
"nachhaltigem",21.67164179104481,1.9681707723782766e-05,2,0.06374242412743225
"kürbiskerne",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"lab",21.67164179104481,1.9681707723782766e-05,2,0.14942190098056377
"schlagsahne",21.67164179104481,1.9681707723782766e-05,2,0.02443806250333426
"emmentaler",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"05",21.67164179104481,1.9681707723782766e-05,10,0.0776578905136285
"aroniasaft",21.67164179104481,1.9681707723782766e-05,3,0.06336730887845365
"bourbonvanileschote",21.67164179104481,1.9681707723782766e-05,2,0.20046342092695013
"arabica",21.67164179104481,1.9681707723782766e-05,2,0.06336730887845364
"bourbonvanilleextrakt",21.67164179104481,1.9681707723782766e-05,2,0.24608300649011522
"heidelbeeren",21.59112003010165,2.0490278269667063e-05,7,0.1588353837570534
"speltmeel",20.074052008863312,4.3749691157983606e-05,8,0.1121001204785655
"maltodextrin",19.999669021837647,4.5407443576856684e-05,8,0.1476798524029735
"45",19.81403144704292,4.982390228482981e-05,13,0.15243004033981497
"levure",19.56676003734832,5.638090510946693e-05,10,0.14654235044350272
"flocons",19.56676003734832,5.638090510946693e-05,6,0.14767985240297343
"weizenstärke",19.16169651940386,6.903836042214314e-05,14,0.08749389635561258
"cacaopoeder",19.06115361567517,7.25977369695566e-05,5,0.04582868944145237
"rohrzucker",18.83189406221312,8.14153253058051e-05,122,0.023705017835421425
"56",18.61400560224093,9.0786242230655e-05,5,0.10038305323383194
"weizenvollkornmehl",18.61400560224093,9.0786242230655e-05,9,0.14767985240297343
"apfelfaser",18.61400560224093,9.0786242230655e-05,5,0.5243914472715682
"38",18.61400560224093,9.0786242230655e-05,5,0.3319048606100057
"44",18.106087211003867,0.00011703428809001905,18,0.1501983940960414
"haselnuss",17.728342414909612,0.00014136417336192475,3,0.16059009710020475
"pistazie",17.728342414909612,0.00014136417336192475,7,0.0776578905136285
"kaffee",17.261340357038378,0.00017854494807146776,8,0.06336730887845365
"zwaar",16.976861723130412,0.00020583599201014221,3,0.05111074888188589
"vanillestokjes",16.976861723130412,0.00020583599201014221,3,0.18098458040843973
"vitamin",16.751215175779745,0.0002304198247574752,24,0.06336730887845364
"lupine",15.774231796485608,0.0003755511422706546,59,0.1999996214240609
