"feature","chi2_score_soy","p_values_soy","sample_count_soy","correlation_to_soy"
"shiitake",22.711538461538375,1.1701784215109021e-05,3,0.0465040846946629
"weizengrieß",22.711538461538375,1.1701784215109021e-05,13,0.10481952857028703
"sojalecithine",22.711538461538375,1.1701784215109021e-05,3,0.13469693751276826
"schafskäse",22.711538461538375,1.1701784215109021e-05,3,0.16427537281589552
"galgant",22.711538461538375,1.1701784215109021e-05,3,0.15961088538141194
"instant",22.711538461538375,1.1701784215109021e-05,3,0.07565246873712242
"gemüsepaprika",22.711538461538375,1.1701784215109021e-05,3,0.12184909102523904
"e322",22.711538461538375,1.1701784215109021e-05,3,0.14420536183458255
"walnussöl",22.711538461538375,1.1701784215109021e-05,3,0.08509405054021478
"zitronenschalenpaste",22.711538461538375,1.1701784215109021e-05,3,0.08509405054021478
"sojasaus",22.711538461538375,1.1701784215109021e-05,3,0.08551398039500656
"knoblauch",22.685704422306628,1.1853916826052538e-05,86,0.1476085212126911
"entier",22.562717082791725,1.2605736858515772e-05,22,0.04157891307164165
"zucker",22.246874999999804,1.4762247215622966e-05,261,0.07966878669698536
"natriumwaterstofcarbonaat",22.246874999999804,1.4762247215622966e-05,7,0.08509405054021481
"apfelstücke",22.246874999999804,1.4762247215622966e-05,9,0.05474804176369773
"milch",22.132973108191866,1.5627372183895802e-05,198,0.023889841025470895
"kandiert",21.663390313390096,1.976307704839797e-05,10,0.14148646424710193
"invertzuckersirup",21.229862414008448,2.4546747259968342e-05,13,0.08509405054021478
"senf",20.918319155437676,2.8684329989091108e-05,46,0.08681037461760048
"48",20.89225753074816,2.9060556052380376e-05,15,0.08466549953413782
"canne",20.633295809880572,3.307780960981139e-05,50,0.11669518043673371
"sucre",20.578643641295436,3.39941597334696e-05,52,0.052610570308629555
"59",19.6401175213674,5.435039043622326e-05,6,0.04157891307164164
"weizen",19.6401175213674,5.435039043622326e-05,150,0.086402050689896
"sonnenblumenöl",19.346637011337425,6.29406395151453e-05,198,0.08509405054021482
"magermilchjoghurtpulver",19.06874999999983,7.232251980869047e-05,6,0.041578913071641646
"weinbeeren",19.06874999999983,7.232251980869047e-05,3,0.0776329996613947
"weiße",19.06874999999983,7.232251980869047e-05,21,0.08509405054021482
"quinoa",19.06874999999983,7.232251980869047e-05,6,0.04157891307164165
"honing",19.06874999999983,7.232251980869047e-05,7,0.08509405054021478
"epeautre",19.06874999999983,7.232251980869047e-05,4,0.11013348047716741
"morceaux",19.06874999999983,7.232251980869047e-05,2,0.0846669622500139
"haferkleie",19.06874999999983,7.232251980869047e-05,6,0.11587380404464127
"noisettes",19.06874999999983,7.232251980869047e-05,6,0.11496590524793031
"gerstenmalz",18.75407051282032,8.464578394032678e-05,45,0.05096180580555697
"hafervollkornflocken",18.568694126629943,9.286654798051505e-05,56,0.17057184023973088
"74",18.32836135377558,0.0001047241636949778,14,0.10071828198311479
"vitamine",18.186062717769737,0.00011244668509866119,20,0.029378700113051676
"levure",18.164297673024453,0.0001136770713752771,26,0.08393941446846698
"fécule",17.889931207004288,0.00013039195521619704,6,0.18743757803490893
"pois",17.889931207004288,0.00013039195521619704,8,0.08509405054021482
"bitte",17.889931207004288,0.00013039195521619704,27,0.04650408469466289
"olive",17.889931207004288,0.00013039195521619704,23,0.04157891307164164
"basilic",17.889931207004288,0.00013039195521619704,6,0.08010485813555689
"dem",17.889931207004288,0.00013039195521619704,14,0.08100515901262367
"nach",17.889931207004288,0.00013039195521619704,8,0.08509405054021481
"zitronensaft",17.799970266015155,0.00013639095419022086,122,0.13994314533854282
"macis",17.700827723209102,0.00014332240835847492,17,0.09767058822106578
"amandes",17.618430603948664,0.00014935040493735936,14,0.06028623719354349
"52",17.55668625356106,0.00015403308718451,9,0.14265135169902077
"dégraissé",17.49727564102549,0.0001586773249642291,6,0.08509405054021478
"fortement",17.49727564102549,0.0001586773249642291,6,0.08509405054021481
"alnatura",17.361138211381913,0.0001698543749960379,8,0.02937870011305167
"dinkel",17.356439943863457,0.00017025385467438447,100,0.060148057030460896
"pâte",16.626604797641036,0.000245232847986061,24,0.08509405054021478
"zwiebeln",16.46244235980786,0.00026621104010176894,73,0.08509405054021481
"amaranth",16.333326780524327,0.00028396391428237976,17,0.04014721397310953
"maismalz",16.32818509615376,0.0002846948798883298,4,0.09941979638552616
"au",16.253787523451827,0.00029548462240053085,671,0.08317737760793499
"eieren",16.252251407128895,0.0002957116589538308,62,0.05506573122770859
"96",15.890624999999861,0.0003543191490481814,5,0.08509405054021478
"gerstenflakes",15.890624999999861,0.0003543191490481814,3,0.14760852121269108
"curcuma",15.890624999999861,0.0003543191490481814,5,0.08509405054021478
"johannisbeeren",15.890624999999861,0.0003543191490481814,5,0.050961805805556946
"marzipan",15.890624999999861,0.0003543191490481814,9,0.060324588123213424
"speltmeel",15.690694379299249,0.00039156963559626673,22,0.12421148339116977
"sahne",15.67186522826759,0.0003952735053234872,10,0.16818435135972165
"peperoni",15.67186522826759,0.0003952735053234872,4,0.08509405054021478
"meeresrotalge",15.67186522826759,0.0003952735053234872,4,0.08317737760793502
"curry",15.67186522826759,0.0003952735053234872,10,0.08509405054021478
"salz",15.44224254742525,0.00044336319359431387,336,0.07462535398222032
"gourmands",15.14102564102558,0.0005154280587445427,2,0.12043140495360577
"durcie",15.14102564102558,0.0005154280587445427,2,0.08509405054021481
"crustacés",15.14102564102558,0.0005154280587445427,2,0.12043140495360585
"schwarz",15.14102564102558,0.0005154280587445427,32,0.12043140495360588
"germes",15.14102564102558,0.0005154280587445427,2,0.08100515901262373
"e125",15.14102564102558,0.0005154280587445427,2,0.003491774729506803
"déshydraté",15.14102564102558,0.0005154280587445427,2,0.08509405054021481
"glacés",15.14102564102558,0.0005154280587445427,2,0.08317737760793502
"offnen",15.14102564102558,0.0005154280587445427,2,0.08509405054021478
"endroit",15.14102564102558,0.0005154280587445427,2,0.16269529199401037
"dans",15.14102564102558,0.0005154280587445427,2,0.07204285842915112
"vermahlen",15.14102564102558,0.0005154280587445427,2,0.06748693186787491
"origine",15.14102564102558,0.0005154280587445427,2,0.04157891307164164
"verts",15.14102564102558,0.0005154280587445427,3,0.08509405054021481
"gesamtfettgehalt",15.14102564102558,0.0005154280587445427,2,0.09767095249648727
"goldleinsamen",15.14102564102558,0.0005154280587445427,2,0.08509405054021481
"toumesol",15.14102564102558,0.0005154280587445427,2,0.08509405054021478
"confit",15.14102564102558,0.0005154280587445427,4,0.050961805805556946
"meersaltz",15.14102564102558,0.0005154280587445427,2,0.04157891307164164
"rook",15.14102564102558,0.0005154280587445427,2,0.12043140495360585
"vinaigre",15.14102564102558,0.0005154280587445427,2,0.1594953520099019
"poisson",15.14102564102558,0.0005154280587445427,2,0.06014805703046091
"calcareum",15.14102564102558,0.0005154280587445427,2,0.09026628953513934
"poids",15.14102564102558,0.0005154280587445427,2,0.0691325842682817
"feta",15.14102564102558,0.0005154280587445427,2,0.11865843071183514
"vaniiieschote",15.14102564102558,0.0005154280587445427,2,0.08509405054021478
"variables",15.14102564102558,0.0005154280587445427,2,0.0850940505402148
"extraits",15.14102564102558,0.0005154280587445427,2,0.04157891307164164
"fibres",15.14102564102558,0.0005154280587445427,2,0.05065777688957526
"marins",15.14102564102558,0.0005154280587445427,2,0.03928206565821513
"frais",15.14102564102558,0.0005154280587445427,4,0.08509405054021481
"broyées",15.14102564102558,0.0005154280587445427,2,0.08100515901262376
"ungeoffnet",15.14102564102558,0.0005154280587445427,2,0.029741121307636613
"grüne",15.14102564102558,0.0005154280587445427,10,0.08509405054021478
"proportions",15.14102564102558,0.0005154280587445427,2,0.11423412432232839
"épaississant",15.14102564102558,0.0005154280587445427,2,0.1042575570743072
"garniture",15.14102564102558,0.0005154280587445427,2,0.041578913071641646
"un",15.14102564102558,0.0005154280587445427,372,0.08509405054021481
"extrudée",15.14102564102558,0.0005154280587445427,2,0.04433234143536051
"essence",15.14102564102558,0.0005154280587445427,2,0.057155981109531226
"romarin",15.14102564102558,0.0005154280587445427,2,0.1534028683178184
"gelbe",15.14102564102558,0.0005154280587445427,2,0.1552470746337707
"trocken",15.14102564102558,0.0005154280587445427,5,0.16489273429167642
"mollusques",15.14102564102558,0.0005154280587445427,2,0.17492808262367496
"räuchertofu",15.14102564102558,0.0005154280587445427,2,0.08509405054021482
"nd",15.14102564102558,0.0005154280587445427,682,0.037477505236449785
"kornschrot",15.14102564102558,0.0005154280587445427,15,0.0847691999581085
"chiches",15.14102564102558,0.0005154280587445427,2,0.09042709978323961
"ae",15.14102564102558,0.0005154280587445427,2,0.09799233817627881
"mosterdmeel",15.14102564102558,0.0005154280587445427,1,0.10425755707430717
"pépites",15.14102564102558,0.0005154280587445427,2,0.6221666898594909
"sé",15.14102564102558,0.0005154280587445427,48,0.4518220410481657
"sèches",15.14102564102558,0.0005154280587445427,2,0.12711169596156927
"kühl",15.14102564102558,0.0005154280587445427,6,0.28758228354366705
"rijstgriesmeel",15.14102564102558,0.0005154280587445427,1,0.1042575570743072
"moutarde",15.14102564102558,0.0005154280587445427,2,0.08509405054021477
"mungo",15.14102564102558,0.0005154280587445427,3,0.14760852121269108
"kartoffelstäke",15.14102564102558,0.0005154280587445427,2,0.2542099034821198
"qetrocknet",15.14102564102558,0.0005154280587445427,2,0.1042575570743072
"lipides",15.14102564102558,0.0005154280587445427,2,0.12043140495360585
"12b9",15.14102564102558,0.0005154280587445427,2,0.11449026782854115
"grünkohl",15.14102564102558,0.0005154280587445427,2,0.08509405054021481
"same",15.14102564102558,0.0005154280587445427,44,0.029378700113051666
"sels",15.14102564102558,0.0005154280587445427,2,0.04989807944328437
"chou",15.14102564102558,0.0005154280587445427,2,0.15641085953919692
"loo",15.14102564102558,0.0005154280587445427,15,0.135318893558448
"issue",15.14102564102558,0.0005154280587445427,2,0.09058043914662425
"çontenir",15.14102564102558,0.0005154280587445427,2,0.05410863245765043
"italie",15.14102564102558,0.0005154280587445427,4,0.029378700113051673
"sonnenblümenol",15.14102564102558,0.0005154280587445427,2,0.08509405054021482
"kidneybohnen",15.14102564102558,0.0005154280587445427,2,0.08509405054021478
"montagne",15.14102564102558,0.0005154280587445427,2,0.08681037461760054
"noires",15.14102564102558,0.0005154280587445427,2,0.20023934336997315
"dinkelvoll",15.14102564102558,0.0005154280587445427,60,0.0994197963855262
"levures",15.14102564102558,0.0005154280587445427,2,0.022581394617178365
"beukenhout",15.14102564102558,0.0005154280587445427,2,0.2341826595508763
"alcool",15.14102564102558,0.0005154280587445427,2,0.026036647446770776
"sojameel",15.14102564102558,0.0005154280587445427,2,0.05719170632932364
"kürbiskerne",15.08681891025624,0.0005295889305294797,8,0.08509405054021478
"thiamine",15.051605691056672,0.0005389957642996644,20,0.1353948891919209
"noix",14.9353679382945,0.0005712497981252044,18,0.08509405054021478
"muskat",14.709335075493456,0.0006396000251092552,14,0.08509405054021478
"gepofte",14.709335075493456,0.0006396000251092552,6,0.15270177705126534
"füllung",14.58625926918602,0.0006801959533649518,11,0.08509405054021478
"kräuter",14.077409492043682,0.0008772621039220495,26,0.08509405054021481
"ammoniumhydrogencarbonat",13.76942307692298,0.0010233112987373056,5,0.1398030338877049
"fruits",13.65778611632249,0.0010820552271185195,10,0.08509405054021481
"zeezout",13.641439649780795,0.0010909353571548713,60,0.08509405054021481
"anderen",13.511621308834041,0.0011640957723376263,23,0.08509405054021478
"maïs",13.27191994996856,0.0013123183474965945,33,0.08509405054021478
"kreuzkümmel",13.211976955169284,0.0013522458480959658,19,0.12043140495360577
"dinkelvollkornflocken",13.049755344775441,0.0014664985293344813,27,0.015804611683775907
"pomme",12.973861267458501,0.0015232171516300407,36,0.03837378340713669
"tomaten",12.970244186707617,0.0015259744439350099,71,0.10040261346858784
"pinda",12.947388723555314,0.0015435128917430732,79,0.13028177979724143
"huile",12.866623548897257,0.0016071195938193571,52,0.1329684732415124
"haselnüsse",12.830044559099044,0.0016367834409339872,40,0.1042575570743072
"schalenfruchte",12.712499999999888,0.0017358640118501827,4,0.26872550509810256
"koolzaadolie",12.712499999999888,0.0017358640118501827,4,0.04674257957366063
"liebstöckelwurzel",12.712499999999888,0.0017358640118501827,4,0.12043140495360577
"coriandre",12.712499999999888,0.0017358640118501827,4,0.03599489605160947
"arabicum",12.712499999999888,0.0017358640118501827,4,0.11539294941031308
"joghurtschokolade",12.712499999999888,0.0017358640118501827,4,0.226104165434472
"soufflé",12.712499999999888,0.0017358640118501827,2,0.10425755707430723
"dattes",12.712499999999888,0.0017358640118501827,4,0.10735313767019801
"malte",12.712499999999888,0.0017358640118501827,2,0.10042097797507621
"84",12.712499999999888,0.0017358640118501827,4,0.058889886076890406
"livèche",12.712499999999888,0.0017358640118501827,4,0.05096180580555695
"lecithine",12.712499999999888,0.0017358640118501827,7,0.02937870011305167
"bio7",12.712499999999888,0.0017358640118501827,2,0.07932700937059087
"gousse",12.712499999999888,0.0017358640118501827,4,0.07201760200764858
"gummi",12.712499999999888,0.0017358640118501827,4,0.10425755707430724
"dinkelvollkornschrot",12.712499999999888,0.0017358640118501827,4,-0.0992720824499876
"43",12.712499999999888,0.0017358640118501827,4,-0.11028320365266951
"bockshornklee",12.712499999999888,0.0017358640118501827,4,0.10425755707430724
"chia",12.712499999999888,0.0017358640118501827,4,0.11473086315831055
"marzipanrohmasse",12.712499999999888,0.0017358640118501827,4,0.05506573122770857
"rosenwasser",12.712499999999888,0.0017358640118501827,4,-0.09873765343274665
"agar",12.712499999999888,0.0017358640118501827,2,0.09353275248416404
"yaourt",12.712499999999888,0.0017358640118501827,2,0.08509405054021478
"sultanines",12.712499999999888,0.0017358640118501827,2,0.044332341435360516
"bananenflocken",12.712499999999888,0.0017358640118501827,4,0.11587380404464127
"pour",12.712499999999888,0.0017358640118501827,6,0.08509405054021482
"hühnereieiweißpulver",12.712499999999888,0.0017358640118501827,2,0.07886111343604271
"zutaten",12.445272742001046,0.0019840077358670443,249,0.11705836694914727
