"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"von",22.164631359232168,1.538195206535309e-05,38,0.17123091878513144
"enthalten",22.164631359232168,1.538195206535309e-05,36,0.47393025308193737
"gewürze",21.524512654217357,2.118417055521011e-05,48,0.6219441758164316
"kann",21.413264400023603,2.2395910113069016e-05,36,0.35536058851452856
"zwiebel",17.95749624162906,0.00012606056135459613,50,0.2510573659504304
"nüssen",16.889358191102538,0.00021504159239391638,11,0.13760420293223544
"65",15.70770434977076,0.0003882534636131499,3,0.17123091878513144
"piment",15.70770434977076,0.0003882534636131499,3,0.17123091878513144
"kardamom",15.70770434977076,0.0003882534636131499,3,0.2976286425947742
"apfelmark",14.889503895038928,0.000584501069362834,7,0.25105736595043077
"ontolied",14.387863878638775,0.0007511299093621297,2,0.43560901132888286
"knoblauchpulver",12.971402214022106,0.0015250911396386686,16,0.2851354810997283
"lupine",12.777733336773906,0.001680159300414516,14,0.35536058851452856
"maltodextrin",12.601886018860165,0.0018345739405334954,8,0.08426272304472264
