"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"aceroia",14.144578313252982,0.0008482890184238703,2,0.1495614210572365
"yeast",14.144578313252982,0.0008482890184238703,2,0.10227206187443864
"hirschhornsalz",14.144578313252982,0.0008482890184238703,2,0.14053172246457038
"spelt",14.144578313252982,0.0008482890184238703,13,0.05886975017379662
"kandiert",14.144578313252982,0.0008482890184238703,3,0.05886975017379662
"grofgemalen",14.144578313252982,0.0008482890184238703,1,0.14053172246457038
"hühnereiweiß",14.144578313252982,0.0008482890184238703,1,0.17627139563615657
"sojamehl",14.144578313252982,0.0008482890184238703,2,0.17224448015211896
"haferfaser",14.144578313252982,0.0008482890184238703,2,0.172244480152119
"44",13.815841785189063,0.0009998344001007828,15,0.1405317224645704
"rapsöl",13.815841785189063,0.0009998344001007828,13,0.2639002845816031
"ceylon",13.279236076055845,0.0013075265738964781,8,0.11358812249463668
"rohrzucker",12.972905250481935,0.001523945436407304,110,0.1405317224645704
"maïs",12.972905250481935,0.001523945436407304,15,0.05498270269164093
