"feature","chi2_score_healthy_volunteers","p_values_healthy_volunteers","sample_count_healthy_volunteers","correlation_to_healthy_volunteers"
"bloedanalyse",9.64206623090718,0.001901711923120475,1,0.18584248326864672
"gezond",9.64206623090718,0.001901711923120475,1,0.07004773204332279
"geschiedenis",9.64206623090718,0.001901711923120475,2,0.0715499025244103
"lichamelijk",9.64206623090718,0.001901711923120475,1,0.2276749197371379
"hi",9.63888516001651,0.0019050082596201892,11365,0.105806998073384
"anticipating",9.638821509533797,0.0019050742755392467,1,0.0874505681395373
"concentric",9.638821509533797,0.0019050742755392467,1,0.050593238775665066
"tge",9.630381187423438,0.0019138488388365349,13,0.09462834505696288
"vc",9.624767624135744,0.001919707376209812,366,0.050593238775665066
"insignificant",9.614933879034172,0.00193001411664964,41,0.11418770061188752
