"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"haselnuss",41.5458651235197,9.515464984981417e-10,30,0.07698642351077332
"vanilleextrakt",40.66992924782664,1.4744738481458874e-09,18,0.054417244948385984
"caramélise",40.283253842077315,1.7889679975471552e-09,4,0.09233635534300248
"haricots",40.283253842077315,1.7889679975471552e-09,4,0.05441724494838599
"pour",40.283253842077315,1.7889679975471552e-09,6,0.054417244948386005
"cerises",40.283253842077315,1.7889679975471552e-09,4,0.117083788011256
"paris",40.283253842077315,1.7889679975471552e-09,4,0.0979223646146028
"girofle",40.283253842077315,1.7889679975471552e-09,4,0.11708378801125599
"maisstärke",40.23695268970419,1.8308667563903238e-09,44,0.07698642351077332
"poivre",39.446066625740286,2.718913967921217e-09,14,0.171693911408181
"invertzuckersirup",39.292604057001405,2.9357524988605458e-09,13,0.16564348486641842
"branntweinessig",39.19615123277021,3.0808028252265755e-09,14,0.05811640414674959
"23",38.74432306505669,3.86168765566147e-09,18,0.16564348486641842
"roggenmehl",38.67275837281654,4.0023698594250585e-09,5,0.1211137653462062
"poudre",37.807732164312796,6.168154933032613e-09,46,0.1937554436259927
"butter",37.660569713569025,6.639130327669943e-09,81,0.1656434848664184
"630",36.38638915560859,1.2554400720619334e-08,9,0.13053171854022957
"71",35.91638516792845,1.5880203220251862e-08,10,0.11708378801125602
"orge",35.61848984977971,1.8430758232704882e-08,14,0.07698642351077332
"blé",35.053765996631164,2.4443952373311843e-08,22,0.04621986956465109
"kartoffelflocken",34.978232382061655,2.5384776549932865e-08,6,0.07001306404982137
"mungo",34.13513513513512,3.869453089006406e-08,3,0.13289702481056445
"ent",34.13513513513512,3.869453089006406e-08,443,0.11708378801125599
"sorghum",34.13513513513512,3.869453089006406e-08,2,0.1656434848664184
"entants",34.13513513513512,3.869453089006406e-08,2,0.07698642351077334
"tel",34.13513513513512,3.869453089006406e-08,208,0.07698642351077334
"utre",34.13513513513512,3.869453089006406e-08,40,0.1656434848664184
"www",34.13513513513512,3.869453089006406e-08,2,0.13017082593234963
"unhydriertes",34.13513513513512,3.869453089006406e-08,2,0.07698642351077332
"sesame",34.13513513513512,3.869453089006406e-08,2,0.07698642351077334
"monokaliumtartraat",34.13513513513512,3.869453089006406e-08,2,0.16564348486641844
"germes",34.13513513513512,3.869453089006406e-08,2,0.0943240613434897
"yeast",34.13513513513512,3.869453089006406e-08,2,0.07698642351077332
"moulus",34.13513513513512,3.869453089006406e-08,2,0.11708378801125599
"fenouil",34.13513513513512,3.869453089006406e-08,2,0.17169391140818113
"initiative",34.13513513513512,3.869453089006406e-08,2,0.08228157953275954
"jahr",34.13513513513512,3.869453089006406e-08,4,0.11504268072539858
"milchsäure",34.13513513513512,3.869453089006406e-08,2,0.058116404146749595
"muscat",34.13513513513512,3.869453089006406e-08,2,0.117083788011256
"black",34.13513513513512,3.869453089006406e-08,2,0.04621986956465107
"biscuits",34.13513513513512,3.869453089006406e-08,2,0.054417244948385984
"kekse",34.13513513513512,3.869453089006406e-08,2,0.1205597929750499
"turmeric",34.13513513513512,3.869453089006406e-08,2,0.13184663757736625
"fettarmes",34.13513513513512,3.869453089006406e-08,2,0.08228157953275936
"natriumbicarbonat",34.13513513513512,3.869453089006406e-08,2,0.1656434848664184
"soda",34.13513513513512,3.869453089006406e-08,2,0.16988378554613015
"füreiinder",34.13513513513512,3.869453089006406e-08,2,0.08228157953275936
"gebäck",34.13513513513512,3.869453089006406e-08,2,0.1656434848664184
"bicarbonate",34.13513513513512,3.869453089006406e-08,2,0.11708378801125599
"muscade",34.13513513513512,3.869453089006406e-08,2,0.1656434848664184
"carvi",34.13513513513512,3.869453089006406e-08,2,0.054417244948385984
"eiern",34.13513513513512,3.869453089006406e-08,2,0.16564348486641842
"egruge",34.13513513513512,3.869453089006406e-08,2,0.117083788011256
"maniok",34.13513513513512,3.869453089006406e-08,3,0.1913163965068694
"cerise",34.13513513513512,3.869453089006406e-08,4,0.1656434848664184
"chou",34.13513513513512,3.869453089006406e-08,2,0.117083788011256
"com",34.13513513513512,3.869453089006406e-08,42,0.20294703293370972
"complete",34.13513513513512,3.869453089006406e-08,2,0.07698642351077332
"caramelisé",34.13513513513512,3.869453089006406e-08,2,0.11398416493618385
"tartique",34.13513513513512,3.869453089006406e-08,2,0.09566773859257874
"mable",34.13513513513512,3.869453089006406e-08,2,0.13940123074992292
"tartrique",34.13513513513512,3.869453089006406e-08,2,0.16564348486641842
"confit",34.13513513513512,3.869453089006406e-08,4,0.07698642351077331
"confiture",34.13513513513512,3.869453089006406e-08,2,0.16564348486641842
"corail",34.13513513513512,3.869453089006406e-08,2,0.04934251320731422
"coriander",34.13513513513512,3.869453089006406e-08,2,0.11708378801125602
"courgette",34.13513513513512,3.869453089006406e-08,6,0.058116404146749595
"sam",34.13513513513512,3.869453089006406e-08,365,0.054417244948385984
"croustillants",34.13513513513512,3.869453089006406e-08,2,0.13354461393877048
"lin",34.13513513513512,3.869453089006406e-08,51,0.05441724494838599
"levage",34.13513513513512,3.869453089006406e-08,2,0.07698642351077331
"les",34.13513513513512,3.869453089006406e-08,83,0.11708378801125599
"deutschland",34.13513513513512,3.869453089006406e-08,2,0.11708378801125599
"lentilles",34.13513513513512,3.869453089006406e-08,2,0.11708378801125599
"se",34.13513513513512,3.869453089006406e-08,775,0.11708378801125599
"drogencarbonat",34.13513513513512,3.869453089006406e-08,28,0.04840034726263686
"languette",34.13513513513512,3.869453089006406e-08,2,0.054417244948386
"dès",34.13513513513512,3.869453089006406e-08,2,0.054417244948386
"dìnkelmehl",34.13513513513512,3.869453089006406e-08,2,0.05441724494838599
"wholemeal",34.13513513513512,3.869453089006406e-08,2,0.1656434848664184
"wijnsteen",34.13513513513512,3.869453089006406e-08,3,0.05441724494838599
"e336",34.13513513513512,3.869453089006406e-08,4,0.054417244948386
"natriumhy",34.13513513513512,3.869453089006406e-08,29,0.0874391118356933
"halten",34.13513513513512,3.869453089006406e-08,219,0.1656434848664184
"persil",34.13513513513512,3.869453089006406e-08,2,0.18469439004648108
"nussen",34.13513513513512,3.869453089006406e-08,2,0.12009414279075038
"palmol",34.13513513513512,3.869453089006406e-08,13,0.07698642351077331
"palm",34.13513513513512,3.869453089006406e-08,94,0.04621986956465107
"anbauland",34.13513513513512,3.869453089006406e-08,2,0.07698642351077332
"an",34.13513513513512,3.869453089006406e-08,876,0.07698642351077331
"gourmands",34.13513513513512,3.869453089006406e-08,2,0.07698642351077334
"barley",34.13513513513512,3.869453089006406e-08,2,0.17266500201999255
"gâteaux",34.13513513513512,3.869453089006406e-08,2,0.054417244948386
"starke",34.13513513513512,3.869453089006406e-08,2,0.09432406134348968
"beete",34.13513513513512,3.869453089006406e-08,2,0.07698642351077331
"säuerungsmit",34.13513513513512,3.869453089006406e-08,16,0.04621986956465107
"stein",34.13513513513512,3.869453089006406e-08,19,0.08228157953275958
"rohrorzucker",34.13513513513512,3.869453089006406e-08,2,0.1656434848664184
"petits",34.13513513513512,3.869453089006406e-08,2,0.07698642351077331
"gélifiant",34.13513513513512,3.869453089006406e-08,2,0.18803167688847444
"griottes",34.13513513513512,3.869453089006406e-08,2,0.11708378801125599
"aceroia",34.13513513513512,3.869453089006406e-08,2,0.14604389924456312
"söureregulator",34.13513513513512,3.869453089006406e-08,2,0.07698642351077331
"pectine",34.13513513513512,3.869453089006406e-08,2,0.07848024331721255
"zuivere",34.13513513513512,3.869453089006406e-08,2,0.117083788011256
"ab",34.13513513513512,3.869453089006406e-08,119,0.07698642351077331
