"feature","chi2_score_eggs","p_values_eggs","sample_count_eggs","correlation_to_eggs"
"schalenfruchte",23.318821588041104,8.637384041044683e-06,4,0.09608154442571396
"alnatura",22.879395236820898,1.0759756663416783e-05,8,0.04621986956465108
"mandel",22.385629659945007,1.377280131291435e-05,180,0.11104100746713777
"épices",22.15953177193694,1.5421222914021043e-05,18,0.06367765294687226
"issus",22.15953177193694,1.5421222914021043e-05,22,0.07698642351077332
"oignons",21.6271738759725,2.0124211048516983e-05,14,0.1667213622295567
"kaneel",21.457801861267182,2.1902693657773956e-05,3,0.05441724494838599
"natriumbicarbonaat",21.457801861267182,2.1902693657773956e-05,3,0.16564348486641844
"glucosestroop",21.457801861267182,2.1902693657773956e-05,3,0.054417244948385984
"havermout",21.457801861267182,2.1902693657773956e-05,3,0.11708378801125599
"pulver",21.39314460062851,2.2622347782913977e-05,162,0.03932409601753442
"kokosraspel",20.194064676737856,4.1201646518382335e-05,18,0.07698642351077331
"écrémé",20.143904096291887,4.22480631360371e-05,16,0.04621986956465107
"vanilleschote",20.141992610472624,4.2288460724604395e-05,39,0.1305317185402296
"dinkelwaffeln",20.141626921038657,4.2296193653178254e-05,2,0.2223673491071114
"speltwafels",20.141626921038657,4.2296193653178254e-05,2,0.10895689048641613
"selderij",19.837743534590235,4.9236675887944754e-05,74,0.11708378801125602
"hirschhornsalz",19.723033312870143,5.2143206344846265e-05,7,0.09432406134348967
"ail",19.18174901750892,6.834962312186311e-05,16,0.07698642351077331
"bourbon",18.903866082156398,7.853760203260989e-05,76,0.026575304721376113
"anis",18.751181874944198,8.476812777959272e-05,11,0.20423045852685145
"kaliumcarbonat",18.751181874944198,8.476812777959272e-05,7,0.1218174794049311
"saft",18.751181874944198,8.476812777959272e-05,169,0.09379584701391966
"speisesalz",18.449826883522714,9.855326034457282e-05,53,0.20294703293370978
"pommes",17.973478428923894,0.00012505721386471454,12,0.07698642351077334
"95",17.958192583964227,0.0001260166783416063,7,0.13925473026040971
"senfsaat",17.958192583964227,0.0001260166783416063,8,0.16564348486641842
"20",17.549537654480673,0.00015458463268442726,38,0.07698642351077334
"18",17.303625973762664,0.00017480963311961942,26,0.13943993936671248
"mosterd",17.259910172257026,0.00017867266986622645,57,0.028195630716140528
"meesalz",17.06756756756756,0.00019670925471381372,1,0.07698642351077334
"fisch",17.06756756756756,0.00019670925471381372,1,0.110533173791211
"gerstenvollkornmehl",17.06756756756756,0.00019670925471381372,1,0.09432406134348968
"milchprodukten",17.06756756756756,0.00019670925471381372,1,0.11740504761175899
"karamellzuckersirup",17.06756756756756,0.00019670925471381372,1,0.12131495418859586
"hertshoornzout",17.06756756756756,0.00019670925471381372,1,0.11743043627998624
"gerstemoutextract",17.06756756756756,0.00019670925471381372,1,0.09113463214722524
"karwij",17.06756756756756,0.00019670925471381372,1,0.1656434848664184
"ammoniumwaterstofcarbonaat",17.06756756756756,0.00019670925471381372,1,0.07698642351077331
