"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"zartbitterschokolade",29.71686646818672,3.524231565387441e-07,18,0.2266462068704469
"sultaninen",29.689674701428533,3.5724738116066826e-07,7,0.08934452782799082
"geröstete",29.52498586800705,3.879098250483991e-07,7,0.08365002487113854
"reissirup",29.273908550761814,4.3979625443499205e-07,17,0.15026499426631038
"malt",28.97959183673446,5.09520413993356e-07,28,0.13855932187964054
"lever",28.97959183673446,5.09520413993356e-07,10,0.19564068249340513
"égrugé",28.97959183673446,5.09520413993356e-07,6,0.15074276028053973
"52",28.746060449496074,5.726276111710682e-07,9,0.152640769954751
"gerstenvollkornflocken",28.69347331160217,5.878837246471374e-07,9,0.07098953131063297
"1050",28.506807003838738,6.453948725814535e-07,19,0.04455323490200793
"paranuss",28.00959054507853,8.275508573592895e-07,11,0.044553234902007945
"mosterd",27.555339531575633,1.038565871903396e-06,57,0.08365002487113848
"sirop",27.54365796951663,1.0446496574800436e-06,14,0.10463202653968103
"avoine",27.54365796951663,1.0446496574800436e-06,12,0.10765852774365077
"rosinen",27.497623353138437,1.0689735418848753e-06,8,0.09139545856787015
"sésame",26.865001844500004,1.4666921626269132e-06,22,0.04450894189066442
"rozijnen",26.700025833117877,1.5928066382268203e-06,4,0.11888997450334794
"alnatura",26.700025833117877,1.5928066382268203e-06,8,0.08365002487113847
"58",26.447383562473362,1.8072724531050198e-06,9,0.08365002487113854
"entöltes",26.357840351330147,1.8900256157738444e-06,15,0.0836500248711385
"palmöl",25.807320946924353,2.488922994310564e-06,17,0.05890768415733443
"macadamia",25.448924235155037,2.9773940568950132e-06,23,0.07935143777143863
"fruits",25.079953500387283,3.580612258690604e-06,10,-0.07811667132600969
"glukosesirup",24.86123851072445,3.994391701234337e-06,23,0.05912735890003162
"volkoren",23.764855177324783,6.910783165196937e-06,50,0.08365002487113843
"complète",23.513451673616753,7.836440560717039e-06,14,0.08086994676910059
"geölt",23.513451673616753,7.836440560717039e-06,12,0.1045465632259946
"30",23.34795218735517,8.512489723810336e-06,38,0.033630798580474214
"18",23.222521850947924,9.063448098645543e-06,26,0.03318035418075811
