"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"gegrilde",22.990654205607445,1.0177541257282544e-05,1,0.15795458297162232
"persil",22.990654205607445,1.0177541257282544e-05,2,0.11136121460381602
"buchenrauch",22.990654205607445,1.0177541257282544e-05,2,0.012989443728071943
"kokoschips",22.990654205607445,1.0177541257282544e-05,2,0.012989443728071943
"145g",22.990654205607445,1.0177541257282544e-05,2,0.11251858225089056
"lentilles",22.990654205607445,1.0177541257282544e-05,2,0.05555534143501355
"sell",22.990654205607445,1.0177541257282544e-05,64,0.01298944372807194
"nusse",22.990654205607445,1.0177541257282544e-05,7,0.06993697374985021
"reissiruppulver",22.990654205607445,1.0177541257282544e-05,2,0.17272079258884163
"geröstet",22.673314564656877,1.192757892724466e-05,39,0.10412970920946128
"secs",22.5304136253041,1.2810994471259493e-05,6,0.14174477985434653
"œuf",22.5304136253041,1.2810994471259493e-05,12,-0.0063901075554044125
"graisse",22.5304136253041,1.2810994471259493e-05,10,0.11136121460381602
"égrugé",22.5304136253041,1.2810994471259493e-05,6,0.19586893684879644
"rozijnen",22.5304136253041,1.2810994471259493e-05,4,0.020561229358083764
"hartweizengrieß",22.5304136253041,1.2810994471259493e-05,10,0.01298944372807194
"lever",22.5304136253041,1.2810994471259493e-05,10,0.19266865295542684
"biologischem",22.5304136253041,1.2810994471259493e-05,10,0.09636915557114097
"maissirup",22.5304136253041,1.2810994471259493e-05,9,-0.0014692507670065037
"gerstenmalz",22.5304136253041,1.2810994471259493e-05,45,0.09636915557114101
"malt",22.5304136253041,1.2810994471259493e-05,28,0.14111710199013158
"buchweizen",22.5304136253041,1.2810994471259493e-05,12,0.1017089776014904
"vanille",22.348925594167248,1.402789378884103e-05,87,0.16152255121165207
"selderij",22.055711759238203,1.6242880315648283e-05,74,0.11816086818057395
"zitronensaft",21.275052806075347,2.3998327848142338e-05,122,0.05573709347474476
"60",20.550189455797444,3.448125455245451e-05,58,0.034036897814827806
"gerstemoutmeel",20.27737226277369,3.95206937282243e-05,9,-0.09652802967695671
"käse",20.27737226277369,3.95206937282243e-05,17,0.009181485629019413
"630",20.27737226277369,3.95206937282243e-05,9,0.012989443728071941
"roggenvollkornschrot",20.27737226277369,3.95206937282243e-05,6,0.14244177566920121
"kümmel",20.255611470564695,3.995304232709808e-05,27,-0.08526892351942468
"96",20.094021875071004,4.3315027075637516e-05,5,0.012989443728071943
"ruwe",19.275513227193727,6.521920262556119e-05,26,0.012989443728071943
"lupine",18.95456043476453,7.657191316034116e-05,114,-0.03573270040363799
"natursaitling",18.797571691029596,8.282456635126098e-05,5,0.08907306450664969
"alkohol",18.797571691029596,8.282456635126098e-05,5,0.014494442549417098
"monokaliumtartrat",18.72151044413813,8.603509856950325e-05,11,0.044921116839310896
"vitamin",18.55630899763397,9.344341436627554e-05,44,0.06340011695535869
"50",18.435219435800455,9.927570118644052e-05,52,0.07862603530118736
"vollei",18.024330900243278,0.00012191756356339711,12,0.09636915557114101
"huilés",18.024330900243278,0.00012191756356339711,6,0.17687789715731322
"coque",18.024330900243278,0.00012191756356339711,8,0.07862603530118739
"reisgrieß",18.024330900243278,0.00012191756356339711,4,0.20895104363948874
"milchpulver",18.024330900243278,0.00012191756356339711,64,0.15289080172955183
"non",18.024330900243278,0.00012191756356339711,30,0.012989443728071943
"weizenvollkornmehl",18.024330900243278,0.00012191756356339711,12,0.10412970920946128
"säuerungsmittel",17.80227085070517,0.0001362341549194773,14,0.03502264975471215
"e500ii",17.780609184314898,0.00013771770385992448,11,0.01298944372807194
"macis",17.739519742786012,0.00014057634002253316,17,0.08298739600121972
"52",17.192502270838585,0.00018479727668481745,9,0.13073023341842774
"graines",16.809323696594213,0.0002238214665355067,12,0.15289080172955186
"poeder",16.708736054530455,0.00023536618389361264,30,0.0914032088837075
"eau",16.623273095292415,0.00024564170987083204,74,0.10199099821963602
"b1",16.58311461638555,0.0002506238600875778,39,0.015914716272707623
"muskat",16.500943675102828,0.0002611353147812155,14,0.018383623153515445
"pastinaken",16.500943675102828,0.0002611353147812155,13,0.10965837097844446
"zucker",16.500943675102828,0.0002611353147812155,261,0.07428267968007374
"huile",16.478988798340072,0.0002640177032845973,52,0.040092914961852924
"zitronengras",16.44444444444486,0.00026861747344224935,29,0.01838362315351545
"sonnenblumenöl",16.334768092420646,0.0002837593477183987,198,0.07458001752140733
"kürbiskerne",16.22299724856168,0.000300068845606491,8,0.09003027707870111
"chocolat",15.839782683605439,0.0003634418152820834,16,-0.09416594066426592
"poivron",15.817595561316079,0.00036749612607552164,8,-0.025030965819921445
"kakao",15.817595561316079,0.00036749612607552164,98,0.08383278891093254
"hafervollkornmehl",15.77128953771287,0.0003761040331794508,7,0.10808238735459012
"apfelstücke",15.77128953771287,0.0003761040331794508,9,0.1628879475849833
"roggenmehl",15.77128953771287,0.0003761040331794508,5,0.13551254378114222
"ricotta",15.77128953771287,0.0003761040331794508,7,0.1315940194783961
"haferflocken",15.77128953771287,0.0003761040331794508,7,0.012989443728071941
"550",15.77128953771287,0.0003761040331794508,7,0.14425750031936183
"kokosraspeln",15.77128953771287,0.0003761040331794508,7,0.22042452347096786
"natriumwaterstofcarbonaat",15.77128953771287,0.0003761040331794508,7,0.262989490869343
"hirschhornsalz",15.77128953771287,0.0003761040331794508,7,0.012989443728071945
"tomates",15.652837565246262,0.0003990520164123763,8,0.14111710199013155
"palme",15.652837565246262,0.0003990520164123763,12,0.2833902125629734
"rietsuiker",15.329642884421316,0.00046904049863558963,30,0.03757022512376137
"aubergine",15.191708602923526,0.0005025304607492671,14,0.07627728201325783
"hirsevollkornflocken",15.191708602923526,0.0005025304607492671,6,0.1794258582754208
"32",15.165022325606193,0.0005092807290997219,15,0.12638047447194142
"carbonate",14.909850895252273,0.0005785847933166585,20,0.2970997256318468
"pfeffer",14.459767288851602,0.0007246051700955982,80,0.2239846969629888
"49",14.446971512392068,0.0007292559747846093,11,0.12442492162936766
"magere",14.373483302946381,0.0007565502130395951,6,0.10231982828372263
"gemüsebrühe",14.314125092713859,0.0007793404706904043,9,0.11532832283931338
"64",14.314125092713859,0.0007793404706904043,11,0.012989443728071945
"abrikozen",14.204595681231163,0.0008232111403000913,3,0.09003027707870113
"olie",14.204595681231163,0.0008232111403000913,62,0.15289080172955186
"31",13.63342685198349,0.001095314846500909,15,0.07175682300216002
"ungehärtetes",13.547842263170676,0.0011432032006938606,11,0.11190469162571799
"kokosraspel",13.547842263170676,0.0011432032006938606,18,0.14256666263687479
"hartweizen",13.51824817518246,0.0011602450019458678,16,0.003323020116597468
"lupin",13.51824817518246,0.0011602450019458678,116,0.2972958098589101
"hydrogénée",13.51824817518246,0.0011602450019458678,6,0.21350275875323713
"citrique",13.51824817518246,0.0011602450019458678,4,0.1307302334184277
"knusper",13.51824817518246,0.0011602450019458678,6,0.09430693108335342
"haferkleie",13.51824817518246,0.0011602450019458678,6,0.13073023341842777
"clous",13.51824817518246,0.0011602450019458678,4,0.043561546095491475
"schaaldieren",13.51824817518246,0.0011602450019458678,4,0.09611400480993425
"reinweinsteinbackpulver",13.51824817518246,0.0011602450019458678,6,0.17161571781511292
"epeautre",13.51824817518246,0.0011602450019458678,4,0.11136121460381601
